TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.48824332E+03, -0.47998568E-08, -0.36247545E-08, -0.87967005E-08, -0.18616691E-08, -0.11660381E-08, -0.36072456E-09, -0.82641112E-09, -0.90870888E-09, -0.59506388E-09, -0.22775675E-09, -0.13564838E-08, -0.10573993E-09, -0.13063399E-09, -0.66433454E-09, -0.12668446E-09,  0.00000000E+00, -0.84294618E-09, -0.18287563E-09,  0.00000000E+00, -0.11809715E-08, -0.59344816E-09, -0.52267361E-09, -0.14216357E-08, -0.45797897E-08,  0.40016360E-11, -0.80049393E-11, -0.40016975E-11, -0.30229339E-20, -0.27968718E-08, -0.41751536E-08,  0.76705134E-08, -0.83690013E-08, -0.24793015E-17
  0.64383116E+03, -0.62398178E-08, -0.47134051E-08, -0.11435718E-07, -0.24201713E-08, -0.15165734E-08, -0.46894223E-09, -0.10743351E-08, -0.11812368E-08, -0.77358354E-09, -0.29608396E-09, -0.17622570E-08, -0.13746200E-09, -0.16982430E-09, -0.86308079E-09, -0.16468990E-09,  0.00000000E+00, -0.10949547E-08, -0.23773846E-09,  0.00000000E+00, -0.15340366E-08, -0.77148310E-09, -0.67947613E-09, -0.18471933E-08, -0.59537304E-08,  0.50227059E-11, -0.10047065E-10, -0.50228595E-11, -0.45079214E-20, -0.36330289E-08, -0.54306100E-08,  0.99716738E-08, -0.10879709E-07, -0.16588814E-17
  0.84090909E+03, -0.79037639E-08, -0.59723185E-08, -0.14485233E-07, -0.30655483E-08, -0.19221812E-08, -0.59399309E-09, -0.13608236E-08, -0.14960915E-08, -0.97987182E-09, -0.37503943E-09, -0.22302606E-08, -0.17411841E-09, -0.21511063E-09, -0.10923223E-08, -0.20860706E-09,  0.00000000E+00, -0.13855002E-08, -0.30113518E-09,  0.00000000E+00, -0.19410922E-08, -0.97721126E-09, -0.86066919E-09, -0.23382393E-08, -0.75413867E-08,  0.61236317E-11, -0.12248994E-10, -0.61237989E-11, -0.61457348E-20, -0.45970509E-08, -0.68835506E-08,  0.12630778E-07, -0.13780955E-07, -0.21233883E-17
  0.10917355E+04, -0.10059314E-07, -0.76043522E-08, -0.18435711E-07, -0.39015984E-08, -0.24483228E-08, -0.75598957E-09, -0.17319535E-08, -0.19038857E-08, -0.12471069E-08, -0.47732188E-09, -0.28353989E-08, -0.22160477E-09, -0.27377658E-09, -0.13887556E-08, -0.26549932E-09,  0.00000000E+00, -0.17610387E-08, -0.38326213E-09,  0.00000000E+00, -0.24672235E-08, -0.12437207E-08, -0.10953948E-08, -0.29734589E-08, -0.95981077E-08,  0.74793256E-11, -0.14960663E-10, -0.74795566E-11, -0.81532517E-20, -0.58430771E-08, -0.87685657E-08,  0.16075501E-07, -0.17539359E-07, -0.10940727E-17
  0.14500591E+04, -0.14370494E-07, -0.10869271E-07, -0.26336814E-07, -0.55737298E-08, -0.35010936E-08, -0.10799885E-08, -0.24742272E-08, -0.27194338E-08, -0.17815869E-08, -0.68189057E-09, -0.40449387E-08, -0.31657925E-09, -0.39111064E-09, -0.19812742E-08, -0.37928595E-09,  0.00000000E+00, -0.25115626E-08, -0.54751907E-09,  0.00000000E+00, -0.35187108E-08, -0.17767496E-08, -0.15648547E-08, -0.42433168E-08, -0.13711626E-07,  0.10192450E-10, -0.20387013E-10, -0.10192705E-10, -0.16433055E-19, -0.83332941E-08, -0.12540548E-07,  0.22965075E-07, -0.25056307E-07, -0.21263373E-17
  0.18800473E+04, -0.17244561E-07, -0.13053157E-07, -0.31604118E-07, -0.66884633E-08, -0.42072575E-08, -0.12959838E-08, -0.29690671E-08, -0.32626102E-08, -0.21379003E-08, -0.81826717E-09, -0.48442580E-08, -0.37989440E-09, -0.46933190E-09, -0.23729574E-08, -0.45514230E-09,  0.00000000E+00, -0.30066557E-08, -0.65702166E-09,  0.00000000E+00, -0.42123387E-08, -0.21320955E-08, -0.18778221E-08, -0.50842776E-08, -0.16453921E-07,  0.11611679E-10, -0.23225055E-10, -0.11611966E-10, -0.18387001E-19, -0.99759994E-08, -0.15072565E-07,  0.27558038E-07, -0.30067513E-07, -0.19528129E-17
  0.24533649E+04, -0.22992775E-07, -0.17420281E-07, -0.42138873E-07, -0.89179615E-08, -0.56191853E-08, -0.17279805E-08, -0.39587608E-08, -0.43490279E-08, -0.28505371E-08, -0.10910242E-08, -0.64436002E-08, -0.50652645E-09, -0.62577660E-09, -0.31566567E-08, -0.60685710E-09,  0.00000000E+00, -0.39973646E-08, -0.87602990E-09,  0.00000000E+00, -0.56003264E-08, -0.28427973E-08, -0.25037657E-08, -0.67667651E-08, -0.21938587E-07,  0.14646699E-10, -0.29294716E-10, -0.14646896E-10, -0.28091314E-19, -0.13263144E-07, -0.20134980E-07,  0.36744094E-07, -0.40090064E-07, -0.12196667E-17
  0.30266825E+04, -0.22992775E-07, -0.17441622E-07, -0.42138873E-07, -0.89179615E-08, -0.56318184E-08, -0.17279805E-08, -0.39587608E-08, -0.43475333E-08, -0.28505371E-08, -0.10910242E-08, -0.64231018E-08, -0.50652645E-09, -0.62577660E-09, -0.31469643E-08, -0.60685710E-09,  0.00000000E+00, -0.39820562E-08, -0.87602990E-09,  0.00000000E+00, -0.55788793E-08, -0.28427973E-08, -0.25037657E-08, -0.67504395E-08, -0.21938587E-07,  0.13866212E-10, -0.27733638E-10, -0.13866282E-10, -0.18421883E-19, -0.13212351E-07, -0.20185773E-07,  0.36744094E-07, -0.40090064E-07, -0.93848541E-18
  0.36000001E+04, -0.22992775E-07, -0.17462880E-07, -0.42138873E-07, -0.89179615E-08, -0.56444031E-08, -0.17279805E-08, -0.39587608E-08, -0.43460445E-08, -0.28505371E-08, -0.10910242E-08, -0.64026820E-08, -0.50652645E-09, -0.62577660E-09, -0.31373091E-08, -0.60685710E-09,  0.00000000E+00, -0.39668064E-08, -0.87602990E-09,  0.00000000E+00, -0.55575143E-08, -0.28427973E-08, -0.25037657E-08, -0.67341763E-08, -0.21938587E-07,  0.13227613E-10, -0.26455302E-10, -0.13227927E-10, -0.12860165E-19, -0.13161753E-07, -0.20236371E-07,  0.36744096E-07, -0.40090064E-07, -0.30942262E-18
  0.45000001E+04, -0.36094275E-07, -0.27446639E-07, -0.66150000E-07, -0.13999500E-07, -0.88803170E-08, -0.27126000E-08, -0.62145000E-08, -0.68201333E-08, -0.44748000E-08, -0.17127000E-08, -0.10019058E-07, -0.79515000E-09, -0.98235000E-09, -0.49098787E-08, -0.95265000E-09,  0.00000000E+00, -0.62032826E-08, -0.13752000E-08,  0.00000000E+00, -0.86908278E-08, -0.44626500E-08, -0.39304350E-08, -0.10545941E-07, -0.34439400E-07,  0.19697693E-10, -0.39395201E-10, -0.19689699E-10, -0.34831299E-19, -0.20582318E-07, -0.31846372E-07,  0.57681225E-07, -0.62933760E-07, -0.14376347E-17
