variant,gen_d2,gen_d10,gen_d24,gen_RMSE_manu,prev_d2,prev_d10,prev_d24,prev_RMSE_manu,gen_RMSE_std,prev_RMSE_std
NR,15.64516,24.179119999999998,25.380190000000013,3.8494154510941265,17.3448,24.558810000000015,25.45093,3.604658675797197,6.667383140735697,6.243451970424696
ZK,14.710899999999997,19.60471,21.080720000000056,5.632814637979237,17.511080000000007,25.073160000000055,30.16005000000009,2.124601953687088,9.75632114259773,3.679918529646135
ZK_ND,16.825050000000005,34.54472000000003,53.86792000000006,6.8520283818192,18.659110000000005,35.32869999999999,54.65429000000001,7.116054049246675,11.868061292214813,12.325367162701482
FK,14.674269999999998,24.013839999999995,29.882999999999964,2.8243957186253037,17.4265,28.303430000000017,36.640780000000014,1.4037258763456044,4.8919968853390365,2.431324537729734
FK_ND,16.75309,32.17292999999999,45.94122999999995,4.237141741602845,18.580179999999995,32.86705,46.53702000000004,4.382886935638311,7.338944775327007,7.591382856355419
CK,16.248309999999996,28.102980000000006,33.82913000000003,1.770488736460453,18.248279999999998,28.833249999999996,33.644029999999994,1.4747826642819852,3.0665764457779288,2.554398504658193
