variant,nitrified,denitrified,leached,resid_NO3,resid_NH4,init_NO3
NR,-1.7696023109773494e-10,0.0,25.457479999999997,0.105298392655523,3.915940907145,25.56277839283248
ZK,55.15445931907216,56.89028422045653,21.15560000000005,2.6450820321158184,2.9332487544648416,25.536506933500235
ZK_ND,55.15445919026732,0.0,58.15962000000003,22.502180163414494,2.933248754453204,25.50734097314721
FK,39.31753911319351,26.2497327335099,30.742249999999967,7.859653023491131,1.995726969921704,25.53409664380748
FK_ND,39.31753898220885,0.0,48.84053999999994,15.998139483275056,1.995726969921704,25.52114050106615
CK,18.09554832650208,2.505043659736458,34.865880000000054,6.233927433157395,0.707718042094278,25.50930276639183
