variant,res_org,res_nh4,res_no3,residual_soilN,n2o_N,leached,accounted,init_tot_at_tfirst
NR,1463.4832060049998,3.9159409071450004,0.10529839265552303,1467.5044453048004,0.0,25.457479999999993,1492.9619253048004,1484.3645413489678
ZK,1409.3114149875,2.9332487544648416,2.6450820321158184,1414.8897457740807,56.89028499088884,21.15560000000005,1492.9356307649696,1484.7580456577455
ZK_ND,1409.3114149875,2.9332487544532038,22.502180163414494,1434.7468439053678,0.0,58.15962000000003,1492.906463905368,1483.8021965660957
FK,1426.0858878015,1.995726969921704,7.859653023491131,1435.9412677949126,26.249732904492426,30.742249999999967,1492.933250699405,1484.7922375581954
FK_ND,1426.0858878015,1.9957269699217042,15.998139483275057,1444.0797542546966,0.0,48.84053999999994,1492.9202942546965,1483.8283876560636
CK,1448.5958449593527,0.707718042094278,6.233927433157395,1455.5374904346043,2.5050436918823222,34.865880000000054,1492.9084141264866,1483.9421953687522
