state,variant,depth,layer,BD,NH4ion_mgkg,NO3ion_mgkg,NH4N_mgkg,NO3N_mgkg
initial,-,0,1,1.58,0.99,20.29,0.7688414634146341,4.584146105466861
initial,-,10,1,1.58,0.99,20.29,0.7688414634146341,4.584146105466861
initial,-,20,2,1.58,0.33,4.83,0.2562804878048781,1.0912481857764877
initial,-,30,3,1.58,0.26,5.8,0.2019179600886918,1.3104015481373972
initial,-,40,4,1.58,0.39,7.42,0.3028769401330377,1.6764102564102565
initial,-,50,5,1.58,0.19,5.98,0.14755543237250557,1.3510691823899372
initial,-,60,6,1.58,0.24,6.2,0.18638580931263857,1.400774068698597
initial,-,70,7,1.65,0.32,10.23,0.24851441241685146,2.3112772133526853
initial,-,80,8,1.65,0.41,9.92,0.3184090909090909,2.241238509917755
