day,NR,ZK,ZK_ND,FK,FK_ND,CK
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04296900000190362,0.0018,0.00179,0.0018,0.00179,0.0018,0.0018
0.08203099999809638,0.0036,0.00356,0.00361,0.00356,0.00361,0.00361
0.125,0.0054,0.00532,0.0054199999999999995,0.00532,0.0054199999999999995,0.0054199999999999995
0.16796900000190362,0.0072,0.00707,0.00724,0.00706,0.00724,0.00724
0.20703099999809638,0.009,0.0088,0.00906,0.008790000000000001,0.00906,0.00906
0.25,0.010799999999999999,0.01052,0.01089,0.0105,0.01089,0.01089
0.2929690000019036,0.012599999999999998,0.01222,0.01273,0.0122,0.01272,0.01272
0.3320309999980964,0.014389999999999998,0.01391,0.01457,0.01388,0.01456,0.01456
0.375,0.01618,0.01558,0.01641,0.01555,0.0164,0.0164
0.4179690000019036,0.01797,0.01723,0.018250000000000002,0.0172,0.018240000000000003,0.018240000000000003
0.4570309999980964,0.01976,0.018869999999999998,0.020100000000000003,0.01883,0.020080000000000004,0.020080000000000004
0.5,0.02154,0.020489999999999998,0.021950000000000004,0.02044,0.021920000000000005,0.021920000000000005
0.5429690000019036,0.02332,0.02209,0.023800000000000005,0.02204,0.023760000000000007,0.023760000000000007
0.5820309999980964,0.02509,0.02367,0.025640000000000007,0.023620000000000002,0.025600000000000008,0.025600000000000008
0.625,0.026850000000000002,0.02523,0.027480000000000008,0.02518,0.02744000000000001,0.02744000000000001
0.6679690000019036,0.028600000000000004,0.02676,0.02932000000000001,0.02671,0.02927000000000001,0.02927000000000001
0.7070309999980964,0.030340000000000002,0.02827,0.03115000000000001,0.028220000000000002,0.03110000000000001,0.03110000000000001
0.75,0.03207,0.02976,0.03298000000000001,0.02971,0.03292000000000001,0.03292000000000001
0.7929690000019036,0.03379,0.03123,0.03480000000000001,0.03118,0.03473000000000001,0.03473000000000001
0.8320309999980964,0.035500000000000004,0.03267,0.03661000000000001,0.03263,0.036530000000000014,0.036530000000000014
0.875,2.41256,2.2794,2.55966,2.27665,2.55274,2.53575
0.9179690000019036,5.47925,5.21551,5.822150000000001,5.20089,5.806290000000001,5.753170000000001
0.9570309999980964,7.3757600000000005,7.03774,7.845280000000001,7.0114,7.82348,7.736790000000001
1.0,8.680570000000001,8.29045,9.24071,8.25409,9.21447,9.09664
1.0429690000019036,9.65257,9.22128,10.28265,9.17657,10.25283,10.10561
1.0820309999980964,10.421280000000001,9.95486,11.10859,9.9032,11.0757,10.90005
1.125,11.04076,10.54364,11.775689999999999,10.48634,11.740129999999999,11.5373
1.1679690000019036,11.56853,11.04291,12.34536,10.980970000000001,12.307339999999998,12.07744
1.2070309999980964,12.01331,11.461609999999999,12.826519999999999,11.396040000000001,12.786259999999999,12.53028
1.25,12.39945,11.82317,13.24519,11.754800000000001,13.202839999999998,12.92123
1.2929690000019036,12.74456,12.144499999999999,13.62023,12.074050000000002,13.575869999999998,13.26863
1.3320309999980964,13.0508,12.427969999999998,13.95378,12.35612,13.907509999999998,13.57505
1.375,13.32207,12.677529999999999,14.24991,12.604890000000001,14.20183,13.84704
1.4179690000019036,13.56848,12.90275,14.51951,12.829870000000001,14.469669999999999,14.09568
1.4570309999980964,13.7965,13.109789999999998,14.76955,13.037160000000002,14.717979999999999,14.327119999999999
1.5,14.00643,13.299109999999999,15.00028,13.227200000000002,14.947009999999999,14.541319999999999
1.5429690000019036,14.19935,13.471849999999998,15.21279,13.401100000000001,15.15786,14.739069999999998
1.5820309999980964,14.376420000000001,13.629219999999998,15.40828,13.560020000000002,15.35173,14.921329999999998
1.625,14.538950000000002,13.772569999999998,15.58813,13.70526,15.53001,15.089259999999998
1.6679690000019036,14.691120000000002,13.905709999999997,15.7569,13.84064,15.69721,15.247029999999997
1.7070309999980964,14.835540000000002,14.031049999999997,15.91744,13.96857,15.85618,15.397259999999998
1.75,14.972210000000002,14.148679999999997,16.069699999999997,14.08912,16.00688,15.539859999999997
1.7929690000019036,15.101360000000001,14.258889999999997,16.21391,14.202549999999999,16.14953,15.674999999999997
1.8320309999980964,15.22328,14.362019999999998,16.35035,14.309169999999998,16.284419999999997,15.802929999999996
1.875,15.338280000000001,14.458419999999997,16.47934,14.409319999999997,16.411879999999996,15.923919999999997
1.9179690000019036,15.446700000000002,14.548459999999997,16.60122,14.503319999999997,16.532239999999998,16.038269999999997
1.9570309999980964,15.54887,14.632489999999997,16.716330000000003,14.591519999999997,16.64585,16.146279999999997
2.0,15.64516,14.710899999999997,16.825050000000005,14.674269999999998,16.75309,16.248309999999996
2.0429690000019036,15.736650000000001,14.784639999999998,16.928590000000003,14.752549999999998,16.855150000000002,16.345469999999995
2.0820309999980964,15.82501,14.855109999999998,17.028810000000004,14.827809999999998,16.953870000000002,16.439509999999995
2.125,15.91027,14.922389999999998,17.125720000000005,14.900109999999998,17.049270000000003,16.530439999999995
2.1679690000019036,15.99244,14.986529999999998,17.219330000000006,14.969489999999999,17.141360000000002,16.618259999999996
2.2070309999980964,16.07158,15.047619999999998,17.309680000000007,15.036019999999999,17.230190000000004,16.703009999999995
2.25,16.14776,15.105759999999998,17.396840000000008,15.099779999999999,17.315820000000002,16.784739999999996
