variant,n_steps,gen_end_kgNha,gen_d1,gen_d9,gen_d23,gen_d32,prev_end_kgNha,prev_d1,prev_d9,prev_d23,prev_d32,gen_minus_prev_end
NR,769,25.457479999999993,8.680570000000001,22.987469999999995,25.223390000000016,25.457479999999993,25.506050000000005,10.33864,23.517260000000018,25.33105000000002,25.506050000000005,-0.048570000000012215
ZK,769,21.15560000000005,8.29045,18.799620000000008,20.722150000000052,21.15560000000005,30.62587000000008,10.45777,23.282120000000052,28.007770000000086,30.62587000000008,-9.470270000000031
ZK_ND,769,58.15962000000003,9.24071,30.21499000000001,47.58534000000007,58.15962000000003,59.30119999999997,11.006070000000001,30.745829999999994,47.56186000000001,59.30119999999997,-1.1415799999999408
FK,769,30.742249999999967,8.25409,21.887789999999995,27.949529999999967,30.742249999999967,38.23013999999997,10.39923,25.508840000000017,33.53135000000001,38.23013999999997,-7.487890000000004
FK_ND,769,48.84053999999994,9.21447,28.602799999999988,41.39474999999995,48.84053999999994,49.67741000000009,10.975240000000001,29.146549999999998,41.42994000000003,49.67741000000009,-0.8368700000001468
CK,769,34.865880000000054,9.09664,26.038870000000006,32.31051000000001,34.865880000000054,34.56903000000001,10.88593,26.757099999999998,32.19068,34.56903000000001,0.2968500000000418
