variant,sim_t1,sim_t2,sim_t3,RMSE_3pt,NRMSE_range_%,NRMSE_mean_%
NR,15.64516,24.179119999999998,25.380190000000013,6.667383140735697,44.15485523666024,24.39286514903304
ZK,14.710899999999997,19.60471,21.080720000000056,9.75632114259773,64.6113982953492,35.69385783877219
ZK_ND,16.825050000000005,34.54472000000003,53.86792000000006,11.868061292214813,78.59643239877359,43.41973643493225
FK,14.674269999999998,24.013839999999995,29.882999999999964,4.8919968853390365,32.397330366483686,17.89754958050867
FK_ND,16.75309,32.17292999999999,45.94122999999995,7.338944775327007,48.6022832803113,26.849797958513438
CK,16.248309999999996,28.102980000000006,33.82913000000003,3.0665764457779288,20.30845328329754,11.21918211869974
