state,variant,layer,depth,BD,NH4N_mgkg,NO3N_mgkg,NH4ion_mgkg,NO3ion_mgkg
initial,-,1,0-10 cm,1.58,0.7688414634146341,4.584146105466861,0.99,20.29
initial,-,2,10-20 cm,1.58,0.2562804878048781,1.0912481857764877,0.33,4.83
initial,-,3,20-30 cm,1.58,0.2019179600886918,1.3104015481373972,0.26,5.8
initial,-,4,30-40 cm,1.58,0.3028769401330377,1.6764102564102565,0.39,7.42
initial,-,5,40-50 cm,1.58,0.14755543237250557,1.3510691823899372,0.19,5.98
initial,-,6,50-60 cm,1.58,0.18638580931263857,1.400774068698597,0.24,6.2
initial,-,7,60-70 cm,1.65,0.24851441241685146,2.3112772133526853,0.32,10.23
initial,-,8,70-80 cm,1.65,0.3184090909090909,2.241238509917755,0.41,9.92
