variant,m2cyc_RMSE,m2cyc_NRMSE%,m2fix_RMSE,m2fix_NRMSE%,daily_RMSE,daily_NRMSE%
NR,5.975693339686563,39.574128077394455,6.667383140735697,44.15485523666024,6.067163903639474,16.97547936401267
ZK,9.425911116449665,62.42325242681896,9.75632114259773,64.6113982953492,8.974431992288547,25.109802126400915
ZK_ND,14.771292570680915,97.82312960715836,11.868061292214813,78.59643239877359,13.611873705404582,38.085023721385326
FK,3.465767061349515,22.95209974403652,4.8919968853390365,32.397330366483686,4.2047297383223565,11.764525244047695
FK_ND,9.147913655665006,60.582209640165594,7.338944775327007,48.6022832803113,8.966257453319875,25.0869303662545
CK,2.225246401939622,14.73673113867299,3.0665764457779288,20.30845328329754,3.8660441151722993,10.816907724893031
