variant,gen_total,prev_total,observed,gen_abs_err,prev_abs_err
NR,25.457479999999993,25.506050000000005,35.7,10.24252000000001,10.193949999999997
ZK,21.15560000000005,30.62587000000008,35.7,14.544399999999953,5.074129999999922
ZK_ND,58.15962000000003,59.30119999999997,35.7,22.45962000000003,23.60119999999997
FK,30.742249999999967,38.23013999999997,35.7,4.957750000000036,2.5301399999999674
FK_ND,48.84053999999994,49.67741000000009,35.7,13.140539999999937,13.977410000000084
CK,34.865880000000054,34.56903000000001,35.7,0.8341199999999489,1.1309699999999907
