variant,cum_MINERALIZATION,cum_NITRIFICATION,cum_DENITRIFICATION,d_H2O,d_H,d_O,d_Charge,d_[AMMONIUM],d_[NITRATE],d_[NITROUS_GAS],d_[ORGANIC_N],d_[THETA_VMC],conservation
NR,0.0,0.0,0.0,1.877808149395691e-09,-3.744692913165302e-09,-1.870489939986235e-09,-4.150785042579784e-19,2.490809093393805e-18,4.244171827917591e-18,0.0,6.290589093139401e-16,1.9170400743124283e-14,PASS
ZK,0.00019333250423179312,0.0001968396119237949,0.0002030345555380641,1.881446480521545e-09,-3.744485122352993e-09,-1.862327331105005e-09,-4.1853011499707863e-19,-3.5071079678985318e-06,-6.1949322141730005e-06,0.00010151728090731001,-0.00019333250416297997,4.323486384887703e-14,PASS
ZK_ND,0.00019333250423179312,0.0001968396129320652,0.0,1.8858155959014146e-09,-3.7444462453950395e-09,-1.869046138544739e-09,-4.1220495160196533e-19,-3.507107969209575e-06,0.00019683964598939,0.0,-0.00019333250370197997,3.9984866909679394e-14,PASS
FK,0.00013346654241412612,0.00014031955464630918,9.368212125890379e-05,1.888519042332917e-09,-3.7445302988544795e-09,-1.869395129274203e-09,-4.0271634162200466e-19,-6.853012004892491e-06,4.6637442083789004e-05,4.6841064834957e-05,-0.00013346654228916,5.0853050608337943e-14,PASS
FK_ND,0.0001334665424167071,0.00014031955613794797,0.0,1.885333763832355e-09,-3.744485432744584e-09,-1.8691727894771274e-09,-4.0469141242294897e-19,-6.85301200387405e-06,0.00014031959537223,0.0,-0.00013346654182271002,4.29380094840173e-14,PASS
CK,5.313106879230513e-05,6.458083015766026e-05,8.9401979677236e-06,1.8964132796176e-09,-3.744567615472233e-09,-1.8693074069025857e-09,-4.206848091298982e-19,-1.144976033954179e-05,5.5640635053904e-05,4.470099321442644e-06,-5.3131068805719006e-05,7.006189240836011e-14,PASS
