variant,min_mol,nit_mol,den_mol,min_kgha,nit_kgha,den_kgha,leached_kgha,Nresid_mol
NR,-6.290589093139401e-16,-6.315497184073339e-16,0.0,-1.7626230638976603e-10,-1.7696023109773497e-10,0.0,25.457479999999993,6.357938902352515e-16
ZK,0.00019333250416297997,0.00019683961213087851,0.00020303456181462002,54.17176766646699,55.15445931907216,56.89028422045653,21.15560000000005,1.7469568516391074e-11
ZK_ND,0.00019333250370197997,0.00019683961167118956,0.0,54.17176753729479,55.15445919026732,0.0,58.15962000000003,3.431820043528662e-11
FK,0.00013346654228916,0.0001403195542940525,9.3682129669914e-05,37.397325149422635,39.31753911319351,26.2497327335099,30.742249999999967,1.745965050596772e-11
FK_ND,0.00013346654182271002,0.00014031955382658406,0.0,37.39732501872334,39.31753898220885,0.0,48.84053999999994,4.1545645938258213e-11
CK,5.3131068805719006e-05,6.45808291452608e-05,8.940198642885289e-06,14.887325479362465,18.095548326502076,2.505043659736458,34.865880000000054,4.551528485976109e-12
