TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.48824332E+03, -0.47998568E-08, -0.36247545E-08,  0.00000000E+00, -0.18616691E-08, -0.11660381E-08,  0.00000000E+00, -0.82641112E-09, -0.90870888E-09,  0.00000000E+00, -0.22775675E-09, -0.13564838E-08,  0.00000000E+00, -0.13063399E-09, -0.66433455E-09,  0.00000000E+00,  0.00000000E+00, -0.84294619E-09,  0.00000000E+00,  0.00000000E+00, -0.11809715E-08,  0.00000000E+00, -0.52267361E-09, -0.14216357E-08,  0.00000000E+00,  0.40017191E-11, -0.80050160E-11, -0.40017900E-11, -0.30449046E-20, -0.27968690E-08,  0.11165929E-07,  0.00000000E+00, -0.83690008E-08, -0.30770525E-17
  0.64383116E+03, -0.62398178E-08, -0.47134052E-08,  0.00000000E+00, -0.24201713E-08, -0.15165734E-08,  0.00000000E+00, -0.10743351E-08, -0.11812368E-08,  0.00000000E+00, -0.29608396E-09, -0.17622570E-08,  0.00000000E+00, -0.16982430E-09, -0.86308081E-09,  0.00000000E+00,  0.00000000E+00, -0.10949547E-08,  0.00000000E+00,  0.00000000E+00, -0.15340366E-08,  0.00000000E+00, -0.67947613E-09, -0.18471933E-08,  0.00000000E+00,  0.50226309E-11, -0.10047129E-10, -0.50228675E-11, -0.45111579E-20, -0.36330291E-08,  0.14512738E-07,  0.00000000E+00, -0.10879709E-07, -0.17024923E-17
  0.84090909E+03, -0.79037639E-08, -0.59723186E-08,  0.00000000E+00, -0.30655483E-08, -0.19221812E-08,  0.00000000E+00, -0.13608236E-08, -0.14960915E-08,  0.00000000E+00, -0.37503943E-09, -0.22302606E-08,  0.00000000E+00, -0.21511063E-09, -0.10923223E-08,  0.00000000E+00,  0.00000000E+00, -0.13855002E-08,  0.00000000E+00,  0.00000000E+00, -0.19410923E-08,  0.00000000E+00, -0.86066919E-09, -0.23382394E-08,  0.00000000E+00,  0.61234742E-11, -0.12248935E-10, -0.61236352E-11, -0.61673815E-20, -0.45970512E-08,  0.18378006E-07,  0.00000000E+00, -0.13780955E-07, -0.28887656E-17
  0.10917355E+04, -0.10059314E-07, -0.76043523E-08,  0.00000000E+00, -0.39015984E-08, -0.24483228E-08,  0.00000000E+00, -0.17319535E-08, -0.19038857E-08,  0.00000000E+00, -0.47732188E-09, -0.28353990E-08,  0.00000000E+00, -0.27377658E-09, -0.13887557E-08,  0.00000000E+00,  0.00000000E+00, -0.17610388E-08,  0.00000000E+00,  0.00000000E+00, -0.24672235E-08,  0.00000000E+00, -0.10953948E-08, -0.29734590E-08,  0.00000000E+00,  0.74791372E-11, -0.14960468E-10, -0.74794207E-11, -0.81390468E-20, -0.58430775E-08,  0.23382437E-07,  0.00000000E+00, -0.17539359E-07, -0.22164041E-17
  0.14500591E+04, -0.14370494E-07, -0.10869271E-07,  0.00000000E+00, -0.55737298E-08, -0.35010936E-08,  0.00000000E+00, -0.24742272E-08, -0.27194339E-08,  0.00000000E+00, -0.68189057E-09, -0.40449388E-08,  0.00000000E+00, -0.39111064E-09, -0.19812743E-08,  0.00000000E+00,  0.00000000E+00, -0.25115626E-08,  0.00000000E+00,  0.00000000E+00, -0.35187109E-08,  0.00000000E+00, -0.15648547E-08, -0.42433169E-08,  0.00000000E+00,  0.10192372E-10, -0.20387001E-10, -0.10192613E-10, -0.16460081E-19, -0.83332947E-08,  0.33389602E-07,  0.00000000E+00, -0.25056307E-07, -0.13949432E-17
  0.18800473E+04, -0.17244561E-07, -0.13053157E-07,  0.00000000E+00, -0.66884633E-08, -0.42072576E-08,  0.00000000E+00, -0.29690671E-08, -0.32626103E-08,  0.00000000E+00, -0.81826717E-09, -0.48442581E-08,  0.00000000E+00, -0.46933190E-09, -0.23729574E-08,  0.00000000E+00,  0.00000000E+00, -0.30066558E-08,  0.00000000E+00,  0.00000000E+00, -0.42123387E-08,  0.00000000E+00, -0.18778221E-08, -0.50842777E-08,  0.00000000E+00,  0.11611775E-10, -0.23225278E-10, -0.11611989E-10, -0.18390452E-19, -0.99760000E-08,  0.40043513E-07,  0.00000000E+00, -0.30067513E-07, -0.19539925E-17
  0.24533649E+04, -0.22992775E-07, -0.17420281E-07,  0.00000000E+00, -0.89179615E-08, -0.56191854E-08,  0.00000000E+00, -0.39587608E-08, -0.43490279E-08,  0.00000000E+00, -0.10910242E-08, -0.64436003E-08,  0.00000000E+00, -0.62577660E-09, -0.31566567E-08,  0.00000000E+00,  0.00000000E+00, -0.39973647E-08,  0.00000000E+00,  0.00000000E+00, -0.56003265E-08,  0.00000000E+00, -0.25037657E-08, -0.67667653E-08,  0.00000000E+00,  0.14646571E-10, -0.29294790E-10, -0.14646845E-10, -0.28085709E-19, -0.13263144E-07,  0.53353208E-07,  0.00000000E+00, -0.40090064E-07, -0.10975249E-17
  0.30266825E+04, -0.22992775E-07, -0.17441622E-07,  0.00000000E+00, -0.89179615E-08, -0.56318185E-08,  0.00000000E+00, -0.39587608E-08, -0.43475333E-08,  0.00000000E+00, -0.10910242E-08, -0.64231020E-08,  0.00000000E+00, -0.62577660E-09, -0.31469644E-08,  0.00000000E+00,  0.00000000E+00, -0.39820563E-08,  0.00000000E+00,  0.00000000E+00, -0.55788794E-08,  0.00000000E+00, -0.25037657E-08, -0.67504396E-08,  0.00000000E+00,  0.13866124E-10, -0.27733879E-10, -0.13866336E-10, -0.18435493E-19, -0.13212352E-07,  0.53302415E-07,  0.00000000E+00, -0.40090064E-07, -0.13685927E-17
  0.36000001E+04, -0.22992775E-07, -0.17462881E-07,  0.00000000E+00, -0.89179615E-08, -0.56444032E-08,  0.00000000E+00, -0.39587608E-08, -0.43460445E-08,  0.00000000E+00, -0.10910242E-08, -0.64026821E-08,  0.00000000E+00, -0.62577660E-09, -0.31373092E-08,  0.00000000E+00,  0.00000000E+00, -0.39668065E-08,  0.00000000E+00,  0.00000000E+00, -0.55575144E-08,  0.00000000E+00, -0.25037657E-08, -0.67341764E-08,  0.00000000E+00,  0.13227353E-10, -0.26455231E-10, -0.13227661E-10, -0.12862043E-19, -0.13161753E-07,  0.53251817E-07,  0.00000000E+00, -0.40090064E-07, -0.94721106E-18
  0.45000001E+04, -0.36094275E-07, -0.27446639E-07,  0.00000000E+00, -0.13999500E-07, -0.88803172E-08,  0.00000000E+00, -0.62145000E-08, -0.68201333E-08,  0.00000000E+00, -0.17127000E-08, -0.10019058E-07,  0.00000000E+00, -0.98235000E-09, -0.49098788E-08,  0.00000000E+00,  0.00000000E+00, -0.62032827E-08,  0.00000000E+00,  0.00000000E+00, -0.86908279E-08,  0.00000000E+00, -0.39304350E-08, -0.10545941E-07,  0.00000000E+00,  0.19697252E-10, -0.39395467E-10, -0.19635946E-10, -0.34811296E-19, -0.20582318E-07,  0.83516079E-07,  0.00000000E+00, -0.62933760E-07, -0.93588332E-18
