TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.48824332E+03, -0.30036954E-08, -0.36203372E-08, -0.88404470E-08, -0.19542363E-08, -0.11662657E-08, -0.36246162E-09, -0.63733513E-09, -0.90824388E-09, -0.59386596E-09, -0.14097899E-09, -0.13562704E-08, -0.10654133E-09, -0.55880744E-10, -0.66415070E-09, -0.12635426E-09,  0.00000000E+00, -0.84294618E-09, -0.18632886E-09,  0.00000000E+00, -0.11809715E-08, -0.61331048E-09, -0.79766873E-10, -0.14205464E-08, -0.48031703E-08,  0.40016386E-11, -0.80049446E-11, -0.40017001E-11, -0.30325964E-20, -0.52878386E-08, -0.44727478E-08,  0.78162399E-08, -0.58718934E-08, -0.24902649E-17
  0.64383116E+03, -0.39048001E-08, -0.47058005E-08, -0.11487775E-07, -0.25405054E-08, -0.15169653E-08, -0.47175151E-09, -0.82853535E-09, -0.11804363E-08, -0.77207801E-09, -0.18327272E-09, -0.17618896E-08, -0.13850544E-09, -0.72644984E-10, -0.86276429E-09, -0.16428612E-09,  0.00000000E+00, -0.10949547E-08, -0.24375408E-09,  0.00000000E+00, -0.15340366E-08, -0.79436272E-09, -0.10369698E-09, -0.18453181E-08, -0.62424769E-08,  0.50227120E-11, -0.10047049E-10, -0.50228656E-11, -0.44896000E-20, -0.68687097E-08, -0.58128247E-08,  0.10157495E-07, -0.76334555E-08, -0.17096047E-17
  0.84090909E+03, -0.49460663E-08, -0.59596221E-08, -0.14543375E-07, -0.32179657E-08, -0.19228356E-08, -0.59843311E-09, -0.10494760E-08, -0.14947550E-08, -0.97804905E-09, -0.23214516E-09, -0.22296471E-08, -0.17544361E-09, -0.92016872E-10, -0.10917939E-08, -0.20813684E-09,  0.00000000E+00, -0.13855002E-08, -0.31091350E-09,  0.00000000E+00, -0.19410922E-08, -0.10020478E-08, -0.13134937E-09, -0.23351086E-08, -0.79044170E-08,  0.61236518E-11, -0.12249004E-10, -0.61238164E-11, -0.61601722E-20, -0.86913353E-08, -0.73604609E-08,  0.12860408E-07, -0.96690194E-08, -0.21163106E-17
  0.10917355E+04, -0.62949628E-08, -0.75832589E-08, -0.18497147E-07, -0.40955749E-08, -0.24494099E-08, -0.76305709E-09, -0.13356915E-08, -0.19016653E-08, -0.12449225E-08, -0.29545661E-09, -0.28343798E-08, -0.22329710E-09, -0.11711206E-09, -0.13878778E-08, -0.26496720E-09,  0.00000000E+00, -0.17610387E-08, -0.39862250E-09,  0.00000000E+00, -0.24672235E-08, -0.12697609E-08, -0.16717150E-09, -0.29682576E-08, -0.10055770E-07,  0.74792896E-11, -0.14960616E-10, -0.74795332E-11, -0.81403687E-20, -0.11047142E-07, -0.93644330E-08,  0.16358772E-07, -0.12305969E-07, -0.12352792E-17
  0.14500591E+04, -0.89928020E-08, -0.10830178E-07, -0.26400366E-07, -0.58508236E-08, -0.35031082E-08, -0.10929100E-08, -0.19081327E-08, -0.27153187E-08, -0.17787224E-08, -0.42208183E-09, -0.40430500E-08, -0.31899852E-09, -0.16730334E-09, -0.19796472E-08, -0.37865360E-09,  0.00000000E+00, -0.25115626E-08, -0.57418859E-09,  0.00000000E+00, -0.35187108E-08, -0.18049482E-08, -0.23881706E-09, -0.42336771E-08, -0.14357501E-07,  0.10192476E-10, -0.20387094E-10, -0.10192745E-10, -0.16453384E-19, -0.15755292E-07, -0.13371036E-07,  0.23353144E-07, -0.17579961E-07, -0.21960732E-17
  0.18800473E+04, -0.10791290E-07, -0.12990912E-07, -0.31642838E-07, -0.70209472E-08, -0.42104652E-08, -0.13155806E-08, -0.22897479E-08, -0.32560579E-08, -0.21348727E-08, -0.50649657E-09, -0.48412508E-08, -0.38282544E-09, -0.20076341E-09, -0.23703668E-08, -0.45458164E-09,  0.00000000E+00, -0.30066557E-08, -0.69435664E-09,  0.00000000E+00, -0.42123387E-08, -0.21559678E-08, -0.28657973E-09, -0.50689290E-08, -0.17215326E-07,  0.11611650E-10, -0.23224985E-10, -0.11611931E-10, -0.18394331E-19, -0.18861152E-07, -0.16039372E-07,  0.27998174E-07, -0.21095824E-07, -0.19577395E-17
  0.24533649E+04, -0.14388318E-07, -0.17312812E-07, -0.42127674E-07, -0.93612290E-08, -0.56247232E-08, -0.17611471E-08, -0.30529894E-08, -0.43377150E-08, -0.28471756E-08, -0.67532847E-09, -0.64384081E-08, -0.51046040E-09, -0.26768449E-09, -0.31521840E-08, -0.60644328E-09,  0.00000000E+00, -0.39973646E-08, -0.93327613E-09,  0.00000000E+00, -0.56003264E-08, -0.28607576E-08, -0.38210642E-09, -0.67402652E-08, -0.22932033E-07,  0.14646723E-10, -0.29294746E-10, -0.14646903E-10, -0.28102450E-19, -0.25076143E-07, -0.21375168E-07,  0.37289484E-07, -0.28127656E-07, -0.13130643E-17
  0.30266825E+04, -0.14388206E-07, -0.17301613E-07, -0.42056099E-07, -0.93611693E-08, -0.56390326E-08, -0.17682678E-08, -0.30529743E-08, -0.43327950E-08, -0.28479892E-08, -0.67532702E-09, -0.64163377E-08, -0.51056955E-09, -0.26768401E-09, -0.31411375E-08, -0.60682728E-09,  0.00000000E+00, -0.39820562E-08, -0.93941685E-09,  0.00000000E+00, -0.55788793E-08, -0.28498028E-08, -0.38210596E-09, -0.67159159E-08, -0.22902855E-07,  0.13866238E-10, -0.27733661E-10, -0.13866309E-10, -0.18433282E-19, -0.24980300E-07, -0.21374061E-07,  0.37240914E-07, -0.28127466E-07, -0.91593400E-18
  0.36000001E+04, -0.14388093E-07, -0.17290456E-07, -0.41985682E-07, -0.93611095E-08, -0.56532870E-08, -0.17751750E-08, -0.30529592E-08, -0.43278937E-08, -0.28487966E-08, -0.67532557E-09, -0.63943518E-08, -0.51068133E-09, -0.26768353E-09, -0.31301332E-08, -0.60721238E-09,  0.00000000E+00, -0.39668064E-08, -0.94462172E-09,  0.00000000E+00, -0.55575143E-08, -0.28406704E-08, -0.38210552E-09, -0.66916598E-08, -0.22873691E-07,  0.13227614E-10, -0.26455302E-10, -0.13227915E-10, -0.12854015E-19, -0.24884825E-07, -0.21374429E-07,  0.37193267E-07, -0.28127277E-07, -0.41111211E-18
  0.45000001E+04, -0.22586388E-07, -0.27125272E-07, -0.65774866E-07, -0.14695064E-07, -0.88968738E-08, -0.28019365E-08, -0.47925404E-08, -0.67863038E-08, -0.44735295E-08, -0.10601302E-08, -0.10003532E-07, -0.80167273E-09, -0.42021136E-09, -0.48965043E-08, -0.95398866E-09,  0.00000000E+00, -0.62032826E-08, -0.14935158E-08,  0.00000000E+00, -0.86908278E-08, -0.44399155E-08, -0.59983213E-09, -0.10466699E-07, -0.35862041E-07,  0.19697702E-10, -0.39395195E-10, -0.19689702E-10, -0.34815412E-19, -0.38915129E-07, -0.33532170E-07,  0.58300732E-07, -0.44154166E-07, -0.13236981E-17
  0.58500002E+04, -0.33879166E-07, -0.40646977E-07, -0.98370467E-07, -0.22042375E-07, -0.13397597E-07, -0.42341909E-08, -0.71887548E-08, -0.10161477E-07, -0.67136255E-08, -0.15901899E-08, -0.14924650E-07, -0.12025976E-08, -0.63031526E-09, -0.73043907E-08, -0.14328349E-08,  0.00000000E+00, -0.92489847E-08, -0.22602659E-08,  0.00000000E+00, -0.12957871E-07, -0.66239709E-08, -0.89974653E-09, -0.15611072E-07, -0.53685953E-07,  0.27556542E-10, -0.55114120E-10, -0.27539977E-10, -0.73730859E-19, -0.58022471E-07, -0.50270886E-07,  0.87261953E-07, -0.66230548E-07, -0.10809756E-17
  0.72000002E+04, -0.33878542E-07, -0.40585948E-07, -0.98031079E-07, -0.22042044E-07, -0.13475553E-07, -0.42633144E-08, -0.71886710E-08, -0.10134670E-07, -0.67179447E-08, -0.15901819E-08, -0.14804404E-07, -0.12033063E-08, -0.63031257E-09, -0.72442061E-08, -0.14351504E-08,  0.00000000E+00, -0.91655805E-08, -0.22777125E-08,  0.00000000E+00, -0.12841021E-07, -0.65950353E-08, -0.89974403E-09, -0.15478411E-07, -0.53523341E-07,  0.25661947E-10, -0.51325335E-10, -0.25639924E-10, -0.46197730E-19, -0.57500296E-07, -0.50317091E-07,  0.87023441E-07, -0.66229496E-07, -0.21205261E-18
  0.89280002E+04, -0.43363735E-07, -0.51872592E-07, -0.12504470E-06, -0.28213392E-07, -0.17347587E-07, -0.54946149E-08, -0.92013916E-08, -0.12938373E-07, -0.86048124E-08, -0.20354226E-08, -0.18797110E-07, -0.15408353E-08, -0.80679667E-09, -0.91962422E-08, -0.18406303E-08,  0.00000000E+00, -0.11626148E-07, -0.29394080E-08,  0.00000000E+00, -0.16288288E-07, -0.84001663E-08, -0.11516692E-08, -0.19644090E-07, -0.68300580E-07,  0.30694182E-10, -0.61389330E-10, -0.30691442E-10, -0.62991647E-19, -0.72938022E-07, -0.64455317E-07,  0.11108287E-06, -0.84772408E-07, -0.36637360E-18
