TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
45292.0,0.0,01/01/2024,25.562778392654327,0.0,0.0
45292.042969,3712.521600164473,01/01/2024,25.56097839265432,9.012287082911814e-13,0.0
45292.082031,7087.478399835527,01/01/2024,25.55917839265432,3.304843334312293e-14,0.0
45292.125,10800.0,01/01/2024,25.557378392654318,2.7258261424139162e-17,0.0
45292.167969,14512.521600164473,01/01/2024,25.55557839265432,-2.5726989110221476e-14,0.0
45292.207031,17887.478399835527,01/01/2024,25.55377839265432,6.014272030481717e-17,0.0
45292.25,21600.0,01/01/2024,25.55197839265432,-5.760468414897517e-14,0.0
45292.292969,25312.521600164473,01/01/2024,25.550178392654324,2.5286490331307342e-14,0.0
45292.332031,28687.478399835527,01/01/2024,25.548388392654324,-7.192445967867082e-14,0.0
45292.375,32400.0,01/01/2024,25.546598392654325,-1.404363490793129e-13,0.0
45292.417969,36112.52160016447,01/01/2024,25.544808392654325,-3.1790889906267913e-14,0.0
45292.457031,39487.47839983553,01/01/2024,25.54301839265432,-5.872420417246226e-14,0.0
45292.5,43200.0,01/01/2024,25.541238392654325,-1.3885971261573684e-13,0.0
45292.542969,46912.52160016447,01/01/2024,25.53945839265433,8.88881496789815e-15,0.0
45292.582031,50287.47839983553,01/01/2024,25.53768839265433,-1.0990250636717975e-13,0.0
45292.625,54000.0,01/01/2024,25.53592839265433,-1.262388311790654e-13,0.0
45292.667969,57712.52160016447,01/01/2024,25.53417839265433,-2.15401548450128e-13,0.0
45292.707031,61087.47839983553,01/01/2024,25.532438392654335,-1.0345655745582548e-13,0.0
45292.75,64800.0,01/01/2024,25.53070839265434,-3.474190516810974e-13,0.0
45292.792969,68512.52160016447,01/01/2024,25.528988392654348,-1.5780476841234536e-12,0.0
45292.832031,71887.47839983553,01/01/2024,25.527278392654353,-4.921240245167355e-13,0.0
45292.875,75600.0,01/01/2024,23.150218392654363,-2.2319024905422855e-13,0.0
45292.917969,79312.52160016447,01/01/2024,20.083528392654365,-9.578726842727655e-14,0.0
45292.957031,82687.47839983553,01/01/2024,18.18701839265437,-2.1643199648264917e-13,0.0
45293.0,86400.0,01/02/2024,16.88220839265437,-1.3304008659038451e-13,0.0
45293.042969,90112.52160016447,01/02/2024,15.910208392654367,-1.1492476975876514e-13,0.0
45293.082031,93487.47839983553,01/02/2024,15.141498392654368,-8.005632544232904e-14,0.0
45293.125,97200.0,01/02/2024,14.522018392654369,-1.2967575673525178e-13,0.0
45293.167969,100912.52160016447,01/02/2024,13.994248392654368,5.139232329256146e-14,0.0
45293.207031,104287.47839983553,01/02/2024,13.549468392654372,-1.3649514269532644e-13,0.0
45293.25,108000.0,01/02/2024,13.163328392654373,-1.0470979596438466e-13,0.0
45293.292969,111712.52160016447,01/02/2024,12.818218392654375,-2.3229818760046477e-13,0.0
45293.332031,115087.47839983553,01/02/2024,12.511978392654374,-4.180107376959297e-14,0.0
45293.375,118800.0,01/02/2024,12.240708392654374,-6.937363647580602e-14,0.0
45293.417969,122512.52160016447,01/02/2024,11.994298392654375,-1.5701238172751012e-13,0.0
45293.457031,125887.47839983553,01/02/2024,11.766278392654376,-1.4774660671765463e-13,0.0
45293.5,129600.0,01/02/2024,11.556348392654375,-1.0405603989230407e-13,0.0
45293.542969,133312.52160016447,01/02/2024,11.363428392654376,-8.480333459074087e-14,0.0
45293.582031,136687.47839983553,01/02/2024,11.186358392654375,-3.981457173462479e-14,0.0
45293.625,140400.0,01/02/2024,11.023828392654375,-1.310495665094059e-13,0.0
45293.667969,144112.52160016447,01/02/2024,10.871658392654375,-1.505214777502694e-13,0.0
45293.707031,147487.47839983553,01/02/2024,10.727238392654375,-1.244399266908131e-13,0.0
45293.75,151200.0,01/02/2024,10.590568392654374,-1.3931223583869964e-13,0.0
45293.792969,154912.52160016447,01/02/2024,10.461418392654375,-5.54684400126979e-14,0.0
45293.832031,158287.47839983553,01/02/2024,10.339498392654376,-2.7208023266724122e-14,0.0
45293.875,162000.0,01/02/2024,10.224498392654377,-1.6831190847880808e-13,0.0
45293.917969,165712.52160016447,01/02/2024,10.116078392654375,-4.1619419905366385e-14,0.0
45293.957031,169087.47839983553,01/02/2024,10.013908392654379,-7.42407047740631e-14,0.0
45294.0,172800.0,01/03/2024,9.91761839265438,-2.430501138031842e-14,0.0
45294.042969,176512.52160016447,01/03/2024,9.826128392654379,-8.222378607375826e-14,0.0
45294.082031,179887.47839983553,01/03/2024,9.73776839265438,-1.6490770572584945e-14,0.0
45294.125,183600.0,01/03/2024,9.65250839265438,-1.9003970300265683e-13,0.0
45294.167969,187312.52160016447,01/03/2024,9.57033839265438,-7.316473874170672e-14,0.0
45294.207031,190687.47839983553,01/03/2024,9.491198392654379,-4.004617684901103e-14,0.0
45294.25,194400.0,01/03/2024,9.415018392654378,-7.554869474479603e-14,0.0
45294.292969,198112.52160016447,01/03/2024,9.341728392654378,-1.1321699146281923e-13,0.0
45294.332031,201487.47839983553,01/03/2024,9.27123839265438,8.621937546186006e-14,0.0
45294.375,205200.0,01/03/2024,9.20347839265438,-1.1800924401453865e-13,0.0
45294.417969,208912.52160016447,01/03/2024,9.13834839265438,-1.4379094365893508e-13,0.0
45294.457031,212287.47839983553,01/03/2024,9.07577839265438,-8.211225946639067e-14,0.0
45294.5,216000.0,01/03/2024,9.01566839265438,-1.0669880217182414e-13,0.0
45294.542969,219712.52160016447,01/03/2024,8.95793839265438,-1.8570934061090597e-13,0.0
45294.582031,223087.47839983553,01/03/2024,8.90248839265438,-9.905526369865203e-14,0.0
45294.625,226800.0,01/03/2024,8.849158392654381,-5.0555312859714776e-14,0.0
45294.667969,230512.52160016447,01/03/2024,8.797268392654383,-4.806965332690388e-14,0.0
45294.707031,233887.47839983553,01/03/2024,8.746548392654384,-3.744676717040609e-14,0.0
45294.75,237600.0,01/03/2024,8.697008392654384,-2.844764496942295e-14,0.0
45294.792969,241312.52160016447,01/03/2024,8.648648392654385,-6.267445186137561e-14,0.0
45294.832031,244687.47839983553,01/03/2024,8.601458392654386,-9.000372043476066e-14,0.0
45294.875,248400.0,01/03/2024,8.555428392654388,-6.359011782790203e-14,0.0
45294.917969,252112.52160016447,01/03/2024,8.510538392654391,-3.805886574690533e-14,0.0
45294.957031,255487.47839983553,01/03/2024,8.466778392654392,-9.27235810475757e-14,0.0
45295.0,259200.0,01/04/2024,8.424128392654394,-1.5450282108132052e-13,0.0
45295.042969,262912.5216001645,01/04/2024,8.382568392654393,-1.1531805971572626e-14,0.0
45295.082031,266287.4783998355,01/04/2024,8.342078392654395,-1.3041123939711203e-13,0.0
45295.125,270000.0,01/04/2024,8.302638392654396,-1.1770090353627255e-13,0.0
45295.167969,273712.5216001645,01/04/2024,8.264228392654397,-4.613181383623774e-14,0.0
45295.207031,277087.4783998355,01/04/2024,8.226818392654396,-2.933092579729343e-14,0.0
45295.25,280800.0,01/04/2024,8.190398392654396,-5.021623800406158e-14,0.0
45295.292969,284512.5216001645,01/04/2024,8.154948392654395,-4.7133547189339285e-14,0.0
45295.332031,287887.4783998355,01/04/2024,8.120438392654396,-7.003304430106566e-14,0.0
45295.375,291600.0,01/04/2024,8.086858392654396,7.107317002426732e-14,0.0
